		num_preds	mod_r2	mod_mean_abs_er	mod_median_abs_er	mod_s	AWS_r2	AWS_mean_abs_er	AWS_median_abs_er	AWS_s
MLPR	2	270	0.5376609363791423	453.36793872299893	316.2119931821944	447.41382946582024	0.695333334802914	370.50111111111113	277.0	360.66566652498716
MLPR	3	270	0.6198941478142699	409.2178533383352	310.7253333838744	407.5598117407433	0.695333334802914	370.50111111111113	277.0	360.66566652498716
MLPR	4	246	0.6894344902311025	373.4418720587794	298.01785977206237	326.27818102638565	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
MLPR	5	270	-0.35976284552555726	637.6862456361429	321.21058061027	887.3217411868437	0.695333334802914	370.50111111111113	277.0	360.66566652498716
MLPR	6	270	0.6550576627253595	402.19751160778986	320.15959401542204	375.37586356871043	0.695333334802914	370.50111111111113	277.0	360.66566652498716
MLPR	7	246	-8.239818733219833	2392.6054945410156	2661.896319169835	1259.1305829646487	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
MLPR	8	246	0.706153872671623	371.7700099440756	293.98185569502675	307.3089831561457	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
MLPR	9	246	0.6981797294059602	377.1724320951071	284.1162354883527	310.9742837360758	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
MLPR	10	246	0.7027271073304555	373.29097312312535	303.34494784460185	309.872046166126	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
MLPR	11	270	0.656871690043529	395.35723463490194	294.2887652008576	380.5100958855176	0.695333334802914	370.50111111111113	277.0	360.66566652498716
MLPR	12	246	0.7139199573529761	363.2068412933434	274.61278872854746	307.5622664829584	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
